source_table,genus,Topt,stem_gc_fraction
gc5S,ACETOBACTER,28,0.62
gc5S,ACIDIPHILIUM,36,0.664
gc5S,ACINETOBACTER,34,0.539
gc5S,ALCALIGENES,35,0.547
gc5S,ARTHROBACTER,28,0.643
gc5S,ACHOLEPLASMA,37,0.471
gc5S,AEROMONAS,26,0.588
gc5S,AQUASPIRILLUM,31,0.578
gc5S,AGROBACTERIUM,26,0.649
gc5S,AUREOBACTERIUM,27,0.625
gc5S,BACILLUS,60,0.602
gc5S,BREVIBACTERIUM,29,0.577
gc5S,BRADYRHIZOBIUM,28,0.58
gc5S,BLASTOBACTER,32,0.619
gc5S,CORYNEBACTERIUM,28,0.625
gc5S,CAULOBACTER,22,0.641
gc5S,CLOSTRIDIUM,38,0.553
gc5S,CAMPYLOBACTER,35,0.5
gc5S,CURTOBACTERIUM,26,0.623
gc5S,CYTOPHAGA,25,0.551
gc5S,DESULFOVIBRIO,35,0.608
gc5S,ESCHERICHIA,37,0.624
gc5S,ECTOTHIORHODOSPIRA,34,0.627
gc5S,ERYTHROBACTER,28,0.563
gc5S,FLEXIBACTER,28,0.65
gc5S,FLAVOBACTERIUM,22,0.636
gc5S,GLUCONOBACTER,28,0.633
gc5S,GEODERMATOPHILUS,26,0.592
gc5S,HALOARCULA,39,0.649
gc5S,HALOBACTERIUM,47,0.616
gc5S,HAEMOPHILUS,36,0.578
gc5S,HALOFERAX,39,0.602
gc5S,HYPHOMICROBIUM,28,0.613
gc5S,LEGIONELLA,36,0.483
gc5S,LEPTOTHRIX,25,0.573
gc5S,METHANOSARCINA,40,0.555
gc5S,METHYLOMONAS,30,0.552
gc5S,METHANOBACTERIUM,50,0.541
gc5S,MYCOBACTERIUM,36,0.625
gc5S,MYCOPLASMA,37,0.424
gc5S,METHANOTHERMUS,84,0.634
gc5S,METHANOLOBUS,37,0.528
gc5S,METHYLOCOCCUS,37,0.567
gc5S,MICROCOCCUS,30,0.63
gc5S,METHANOCOCCOIDES,32,0.561
gc5S,METHANOCOCCUS,48,0.533
gc5S,NOCARDIOIDES,28,0.633
gc5S,NATRONOBACTERIUM,41,0.624
gc5S,PSEUDOMONAS,33,0.549
gc5S,PARACOCCUS,29,0.59
gc5S,PLANOCOCCUS,32,0.582
gc5S,PLANCTOMYCES,31,0.529
gc5S,PYROCOCCUS,98,0.71
gc5S,PYRODICTIUM,105,0.738
gc5S,RHODOBACTER,31,0.587
gc5S,RHODOCOCCUS,20,0.633
gc5S,RHODOPSEUDOMONAS,30,0.603
gc5S,RHODOSPIRILLUM,36,0.633
gc5S,SULFOLOBUS,79,0.66
gc5S,STREPTOCOCCUS,37,0.53
gc5S,SACCHAROPOLYSPORA,38,0.638
gc5S,SPIROPLASMA,33,0.533
gc5S,SAPROSPIRA,31,0.587
gc5S,STAPHYLOCOCCUS,34,0.526
gc5S,SYNECHOCYSTIS,29,0.563
gc5S,THERMOPLASMA,57,0.545
gc5S,THERMUS,72,0.654
gc5S,THIOBACILLUS,33,0.596
gc5S,THERMOCOCCUS,90,0.72
gc5S,THIOMICROSPIRA,27,0.528
gc5S,THERMOMICROBIUM,72,0.748
